"Season","Team","Conference","StatName","StatValue"
"2025","Alabama","SEC","puntReturns","20"
"2025","Alabama","SEC","puntReturnsOpponent","10"
"2025","Alabama","SEC","puntReturnTDs","0"
"2025","Alabama","SEC","puntReturnTDsOpponent","0"
"2025","Alabama","SEC","puntReturnYards","192"
"2025","Alabama","SEC","puntReturnYardsOpponent","105"
"2025","Alabama","SEC","rushingAttempts","423"
"2025","Alabama","SEC","rushingAttemptsOpponent","425"
"2025","Alabama","SEC","rushingTDs","20"
"2025","Alabama","SEC","rushingTDsOpponent","14"
"2025","Alabama","SEC","rushingYards","1512"
"2025","Alabama","SEC","rushingYardsOpponent","1634"
"2025","Alabama","SEC","sacks","25"
"2025","Alabama","SEC","sacksOpponent","26"
"2025","Alabama","SEC","tacklesForLoss","74"
"2025","Alabama","SEC","tacklesForLossOpponent","56"
"2025","Alabama","SEC","thirdDownConversions","80"
"2025","Alabama","SEC","thirdDownConversionsOpponent","59"
"2025","Alabama","SEC","thirdDowns","181"
"2025","Alabama","SEC","thirdDownsOpponent","169"
"2025","Alabama","SEC","totalYards","5063"
"2025","Alabama","SEC","totalYardsOpponent","3689"
"2025","Alabama","SEC","turnovers","12"
"2025","Alabama","SEC","turnoversOpponent","19"
"2025","App State","Sun Belt","firstDowns","253"
"2025","App State","Sun Belt","firstDownsOpponent","274"
"2025","App State","Sun Belt","fourthDownConversions","20"
"2025","App State","Sun Belt","fourthDownConversionsOpponent","10"
"2025","App State","Sun Belt","fourthDowns","32"
"2025","App State","Sun Belt","fourthDownsOpponent","19"
"2025","App State","Sun Belt","fumblesLost","7"
"2025","App State","Sun Belt","fumblesLostOpponent","6"
"2025","App State","Sun Belt","fumblesRecovered","6"
"2025","App State","Sun Belt","fumblesRecoveredOpponent","7"
"2025","App State","Sun Belt","games","12"
"2025","App State","Sun Belt","interceptions","11"
"2025","App State","Sun Belt","interceptionsOpponent","12"
"2025","App State","Sun Belt","interceptionTDs","0"
"2025","App State","Sun Belt","interceptionTDsOpponent","3"
"2025","App State","Sun Belt","interceptionYards","99"
"2025","App State","Sun Belt","interceptionYardsOpponent","174"
"2025","App State","Sun Belt","kickReturns","26"
